MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2022-01-31,-0.1589784923352464,1.463536147178793,2,2,0,0,2020,2021-03-31,gap_top_5pct,-0.061500000000000006,-0.0401,0.1286,0.0077,0.07730000000000001,0.0,-0.1589784923352464
2022-02-28,-0.008532214541789984,1.4510489427813988,2,2,0,0,2020,2021-03-31,gap_top_5pct,-0.022799999999999997,0.0286,0.030600000000000002,-0.0203,0.030299999999999997,0.0,-0.008532214541789984
2022-03-31,0.09003984475361682,1.581701164319336,2,2,0,0,2020,2021-03-31,gap_top_5pct,0.0308,-0.021099999999999997,-0.019,-0.015,0.0321,0.0,0.09003984475361682
2021-04-30,0.06558674624527105,1.065586746245271,5,5,0,0,2020,2021-03-31,gap_top_10pct,0.049699999999999994,-0.0316,-0.0102,0.024300000000000002,-0.027200000000000002,0.0,0.06558674624527105
2021-05-31,0.09618472811412415,1.1680799177148866,5,5,0,0,2020,2021-03-31,gap_top_10pct,0.0029,0.0127,0.0704,0.023399999999999997,0.0301,0.0,0.09618472811412415
2021-06-30,0.06460416204884223,1.2435427420049374,5,5,0,0,2020,2021-03-31,gap_top_10pct,0.0273,-0.003,-0.0786,-0.021400000000000002,-0.009300000000000001,0.0,0.06460416204884223
2021-07-31,-0.027341105598183257,1.209542908579926,5,5,0,0,2020,2021-03-31,gap_top_10pct,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,-0.027341105598183257
2021-08-31,0.03419043466149607,1.2508977063660038,5,5,0,0,2020,2021-03-31,gap_top_10pct,0.029500000000000002,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.03419043466149607
2021-09-30,-0.061809586642595726,1.17358023620335,5,5,0,0,2020,2021-03-31,gap_top_10pct,-0.044000000000000004,0.011200000000000002,0.0512,-0.0192,0.02,0.0,-0.061809586642595726
2021-10-31,0.11396557144610964,1.3073279784601253,5,5,0,0,2020,2021-03-31,gap_top_10pct,0.0663,-0.027000000000000003,-0.0053,0.0171,-0.0154,0.0,0.11396557144610964
2021-11-30,0.16417279950193286,1.5219556725511265,5,5,0,0,2020,2021-03-31,gap_top_10pct,-0.0158,-0.017,-0.0037,0.0719,0.017,0.0,0.16417279950193286
