Ticker,FiscalYear,model_type,sector_scope,Sector,MarketCap,m1,m2,m3,SP500MemberYear,SP500AsOfDate,y_actual,score,gap,Strategy,RebalanceDate,buy_date,sell_date,target_sell_date,buy_price,sell_price,position_return,price_status
LRCX,2023,ranknet,bio_it,Information Technology,8305435636.896893,0.3363273912710145,1.0750697831506193,1.0945747736453129,2023,2023-12-31,-1.6783289819281648,0.44550554481336596,2.123834526741531,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,97.15699768066406,72.69999694824219,-0.25172660041232675,normal
AVGO,2023,ranknet,bio_it,Information Technology,55240587142.0,0.3516800550878056,1.0398532829221323,1.082092581927358,2023,2023-12-31,-0.8772982811996002,0.49721449486482244,1.3745127760644227,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,132.54100036621094,167.42999267578125,0.2632316959519845,normal
HPE,2023,ranknet,bio_it,Information Technology,19876999950.408936,0.062888539669282,1.1865618787251389,1.1158196134574088,2023,2023-12-31,-1.6814631511280083,-0.536861634102932,1.1446015170250763,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,17.729999542236328,15.43000030517578,-0.12972359257999422,normal
WDC,2023,ranknet,bio_it,Information Technology,11102125926.657,-0.0930099974508919,-1.201391142098628,0.8791040782784849,2023,2023-12-31,-1.7011285276908137,-1.072326931378345,0.6288015963124687,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,51.579742431640625,40.43000030517578,-0.2161651377232401,normal
GEN,2023,ranknet,bio_it,Information Technology,11886295031.530792,0.3177457696878331,0.8085054758440623,1.1771662497157152,2023,2023-12-31,-0.1695466025481498,0.43028950930947035,0.5998361118576201,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,22.399999618530273,26.540000915527344,0.18482148962057465,normal
HPQ,2023,ranknet,bio_it,Information Technology,28448808403.591713,0.3501033450606344,0.8949243757101745,0.936587517459384,2023,2023-12-31,-0.08313303966825947,0.43442891536840095,0.5175619550366604,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,30.219999313354492,27.690000534057617,-0.0837193526400527,normal
ANET,2023,ranknet,bio_it,Information Technology,22664374560.61386,0.2204391444252477,1.1535176762959694,1.300298488983738,2023,2023-12-31,-0.3262861490732223,0.11550231894105874,0.441788468014281,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,72.49500274658203,77.4800033569336,0.06876336880457035,normal
NVDA,2023,ranknet,bio_it,Information Technology,68540031356.81152,0.1139539571693403,1.9593405875122536,1.548571538210633,2023,2023-12-31,-0.6179134625406745,-0.2019138803922594,0.41599958214841504,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,90.3560028076172,108.37999725341795,0.19947755418283397,normal
INCY,2023,ranknet,bio_it,Health Care,12791253786.239746,0.0566239408947651,1.4951676331641568,1.108040178039463,2023,2023-12-31,-0.7984102943732962,-0.580050247521344,0.2183600468519522,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,56.970001220703125,60.54999923706055,0.0628400551105559,normal
NTAP,2023,ranknet,bio_it,Information Technology,16571732232.451286,0.2328761000868728,1.1199781727719575,1.0587904162122226,2023,2023-12-31,-0.09077731841963566,0.054071735856192585,0.14484905427582823,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,104.97000122070312,87.83999633789062,-0.16318952732787018,normal
NOW,2023,ranknet,bio_it,Information Technology,31258399124.145508,0.1203406170166371,2.732995664944668,1.3261369443025035,2023,2023-12-31,-0.42290564746730785,-0.32140275924808315,0.10150288821922471,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,152.47999572753906,159.22799682617188,0.044254992705341945,normal
FICO,2023,ranknet,bio_it,Information Technology,28766827724.91333,3.860950964077862,1.038039852137106,1.0148665240904426,2023,2023-12-31,3.406104784597559,13.117438001217216,9.711333216619657,gap_top_30pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,1249.6099853515625,1844.1600341796875,0.4757884906472283,normal
VRSN,2023,ranknet,bio_it,Information Technology,19121558445.739742,-0.6723550234019522,1.047461069756659,1.2859140221297811,2023,2023-12-31,-5.804235587378624,-3.1033976361402895,2.7008379512383347,gap_top_30pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,189.5099945068359,253.8699951171875,0.3396126984111649,normal
LRCX,2023,ranknet,bio_it,Information Technology,8305435636.896893,0.3363273912710145,1.0750697831506193,1.0945747736453129,2023,2023-12-31,-1.6783289819281648,0.44550554481336596,2.123834526741531,gap_top_30pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,97.15699768066406,72.69999694824219,-0.25172660041232675,normal
AVGO,2023,ranknet,bio_it,Information Technology,55240587142.0,0.3516800550878056,1.0398532829221323,1.082092581927358,2023,2023-12-31,-0.8772982811996002,0.49721449486482244,1.3745127760644227,gap_top_30pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,132.54100036621094,167.42999267578125,0.2632316959519845,normal
HPE,2023,ranknet,bio_it,Information Technology,19876999950.408936,0.062888539669282,1.1865618787251389,1.1158196134574088,2023,2023-12-31,-1.6814631511280083,-0.536861634102932,1.1446015170250763,gap_top_30pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,17.729999542236328,15.43000030517578,-0.12972359257999422,normal
