FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return,Experiment,Universe,Model,SectorScope,WindowYears
2023,2024-03-31,gap_top_10pct,37,37,0,0,0.010956618647637,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2024,2025-03-31,gap_top_10pct,37,37,0,0,0.3756381997602752,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2016,2017-03-31,gap_top_20pct,56,56,0,0,0.1418845667823306,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2017,2018-03-31,gap_top_20pct,58,58,0,0,0.0605927238860655,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,2019-03-31,gap_top_20pct,61,61,0,0,-0.187528149760129,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2019,2020-03-31,gap_top_20pct,64,64,0,0,0.969684020560168,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2020,2021-03-31,gap_top_20pct,66,66,0,0,0.1332955758301825,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2021,2022-03-31,gap_top_20pct,71,71,0,0,-0.0415418910769935,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2022,2023-03-31,gap_top_20pct,74,74,0,0,0.2388682104734122,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2023,2024-03-31,gap_top_20pct,75,75,0,0,0.0187449816376484,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2024,2025-03-31,gap_top_20pct,74,74,0,0,0.2722317323410111,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2016,2017-03-31,gap_top_30pct,84,84,0,0,0.1401059245542036,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2017,2018-03-31,gap_top_30pct,88,88,1,0,0.0274396360007283,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,2019-03-31,gap_top_30pct,92,92,0,0,-0.2053020910054421,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2019,2020-03-31,gap_top_30pct,96,96,0,0,0.8605123327044408,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2020,2021-03-31,gap_top_30pct,99,99,0,0,0.1115932733050883,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2021,2022-03-31,gap_top_30pct,106,106,0,0,-0.0502224178830516,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2022,2023-03-31,gap_top_30pct,111,111,0,0,0.2116559505864046,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2023,2024-03-31,gap_top_30pct,112,112,0,0,9.348510785253672e-05,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2024,2025-03-31,gap_top_30pct,111,111,0,0,0.2590294791271946,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,2019-03-31,gap_top_5pct,2,2,0,0,0.1663053944569734,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2019,2020-03-31,gap_top_5pct,2,2,0,0,0.5646007494260912,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2020,2021-03-31,gap_top_5pct,2,2,0,0,0.581701164319336,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2021,2022-03-31,gap_top_5pct,3,3,0,0,-0.0153229704243531,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2022,2023-03-31,gap_top_5pct,3,3,0,0,0.5984889714961826,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2023,2024-03-31,gap_top_5pct,3,3,0,0,0.1878915295486888,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2024,2025-03-31,gap_top_5pct,3,3,0,0,0.8201070223526363,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2018,2019-03-31,gap_top_10pct,4,4,0,0,0.1111909874018956,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2019,2020-03-31,gap_top_10pct,5,5,0,0,0.7407222422557599,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2020,2021-03-31,gap_top_10pct,5,5,0,0,0.4310925140413947,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2021,2022-03-31,gap_top_10pct,6,6,0,0,-0.0545057752688478,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2022,2023-03-31,gap_top_10pct,6,6,0,0,0.7589559044636082,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2023,2024-03-31,gap_top_10pct,6,6,0,0,0.1470006969397718,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2024,2025-03-31,gap_top_10pct,7,7,0,0,1.492280668348761,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2018,2019-03-31,gap_top_20pct,9,9,0,0,0.0164282656364776,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2019,2020-03-31,gap_top_20pct,10,10,0,0,0.6567463196476607,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2020,2021-03-31,gap_top_20pct,11,11,0,0,0.2257605243022707,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2021,2022-03-31,gap_top_20pct,12,12,0,0,-0.0810476523137716,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2022,2023-03-31,gap_top_20pct,12,12,0,0,0.6547794845786399,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2023,2024-03-31,gap_top_20pct,13,13,0,0,0.0362773490881781,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2024,2025-03-31,gap_top_20pct,14,14,0,0,0.8448778064552745,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
