date,added_ticker,added_security,removed_ticker,removed_security
2013-12-23,MHK,Mohawk Industries,JDSU,JDS Uniphase
2013-12-23,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch
2014-01-24,TSCO,Tractor Supply,LIFE,Life Technologies
2014-03-21,GMCR,Keurig Green Mountain,WPX,WPX Energy
2014-04-02,ESS,Essex Property Trust,CLF,Cliffs Natural Resources
2014-04-03,GOOGL,Google,,
2014-05-01,NAVI,Navient,SLM,SLM Corporation
2014-05-01,UA,Under Armour,BEAM,Suntory Global Spirits
2014-05-08,AVGO,Avago Technologies,LSI,LSI Corporation
2014-06-20,XEC,Cimarex Energy,IGT,International Game Technology
2014-07-01,AMG,Affiliated Managers Group,FRX,Forest Laboratories
2014-07-02,MLM,Martin Marietta,X,United States Steel
2014-08-06,DISCK,Discovery Communications,,
2014-08-18,MNK,Mallinckrodt,RDC,Rowan Companies
2014-09-20,UHS,Universal Health Services,GHC,Graham Holdings
2014-09-20,URI,United Rentals,BTU,Peabody Energy
2014-11-05,LVLT,Level 3 Communications,JBL,Jabil Circuit
2014-12-05,RCL,Royal Caribbean Cruises,BMS,Bemis Company
2015-01-27,ENDP,Endo International,COV,Covidien
2015-01-27,HCA,HCA Holdings,SWY,Safeway
2015-03-12,SWKS,Skyworks,PETM,PetSmart
2015-03-18,HSIC,Henry Schein,CFN,Carefusion
2015-03-23,HBI,Hanesbrands,AVP,Avon Products
2015-03-23,SLG,SL Green Realty,NBR,Nabors Industries
2015-03-23,EQIX,Equinix,DNR,Denbury Resources
2015-03-23,AAL,American Airlines Group,AGN,Allergan
2015-04-07,O,Realty Income Corporation,WIN,Windstream Communications
2015-06-11,QRVO,Qorvo,LO,Lorillard Tobacco Company
2015-07-01,BXLT,Baxalta,QEP,QEP Resources
2015-07-01,JBHT,J.B. Hunt,TEG,Integrys Energy Group
2015-07-02,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies
2015-07-06,KHC,Kraft Heinz,KRFT,Kraft Foods
2015-07-08,AAP,Advance Auto Parts,FDO,Family Dollar
2015-07-20,PYPL,PayPal,NE,Noble Corporation
2015-07-29,SIG,Signet Jewelers,DTV,DirecTV
2015-08-28,ATVI,Activision Blizzard,PLL,Pall Corporation
2015-09-02,UAL,United Continental Holdings,HSP,Hospira
2015-09-18,NWS,News Corporation Class B,,
2015-09-18,FOX,Twenty-First Century Fox Class B,,
2015-09-18,CMCSK,Comcast Class K Special,,
2015-10-07,VRSK,Verisk Analytics,JOY,Joy Global
2015-11-02,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp
2015-11-18,SYF,Synchrony Financial,GNW,Genworth Financial
2015-11-19,ILMN,Illumina,SIAL,Sigma-Aldrich
2015-12-01,CSRA,CSRA,CSC,Computer Sciences Corporation
2015-12-15,,,CMCSK,Comcast K Corp
2015-12-29,CHD,Church & Dwight,ALTR,Altera
2016-01-05,WLTW,Willis Towers Watson,FOSL,Fossil Group
2016-01-19,EXR,Extra Space Storage,ACE,Chubb
2016-02-01,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation
2016-02-01,CFG,Citizens,PCP,Precision Castparts Corporation
2016-02-22,CXO,Concho Resources,PCL,Plum Creek Timber
2016-03-04,AWK,American Water Works,CNX,Consol Energy
2016-03-07,UDR,UDR,GMCR,Keurig Green Mountain
2016-03-30,CNC,Centene Corporation,ESV,Ensco
2016-03-30,HOLX,Hologic,POM,Pepco Holdings
2016-04-04,FL,Foot Locker,CAM,Cameron International
2016-04-08,UA,Under Armour (Class C),,
2016-04-18,ULTA,Ulta Beauty,THC,Tenet Healthcare
2016-04-25,GPN,Global Payments,GME,GameStop
2016-05-03,AYI,Acuity Brands,ADT,ADT
2016-05-13,ALK,Alaska Air Group,SNDK,SanDisk
2016-05-18,DLR,Digital Realty,TWC,Time Warner Cable
2016-05-23,LKQ,LKQ Corporation,ARG,Airgas
2016-05-31,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises
2016-06-03,TDG,TransDigm Group,BXLT,Baxalta
2016-06-22,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems
2016-07-01,LNT,Alliant Energy Corp,GAS,AGL Resources
2016-07-01,ALB,Albemarle Corporation,TE,TECO Energy
2016-07-05,FTV,Fortive Corp,CPGX,Columbia Pipeline Group
2016-09-06,MTD,Mettler Toledo,TYC,Tyco International
2016-09-08,CHTR,Charter Communications,EMC,EMC Corporation
2016-09-22,COO,The Cooper Companies,HOT,Starwood
2016-09-30,COTY,Coty,DO,Diamond Offshore Drilling
2016-11-01,ARNC,Arconic,AA,Alcoa
2016-12-02,EVHC,Envision Healthcare,LM,Legg Mason
2016-12-02,MAA,Mid-America Apartments,OI,Owens-Illinois
2017-01-05,IDXX,Idexx Laboratories,STJ,St Jude Medical
2017-02-28,INCY,Incyte,SE,Spectra Energy
2017-03-01,CBOE,Cboe Holdings,PBI,Pitney Bowes
2017-03-02,REG,Regency Centers,ENDP,Endo International
2017-03-13,DISH,Dish Network,LLTC,Linear Technology
2017-03-16,SNPS,Synopsys,HAR,Harman International
2017-03-20,AMD,Advanced Micro Devices,URBN,Urban Outfitters
2017-03-20,ARE,Alexandria Real Estate Equities,FSLR,First Solar
2017-03-20,RJF,Raymond James Financial,FTR,Frontier Communications
2017-04-04,DXC,DXC Technology,SWN,Southwestern Energy
2017-04-05,IT,Gartner,DNB,Dun & Bradstreet
2017-06-02,INFO,IHS Markit,TGNA,Tegna
2017-06-19,RE,Everest Re,MJN,Mead Johnson
