MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2021-08-31,0.014013467827956427,1.1305233549137492,33,33,0,0,2020,2021-03-31,gap_top_10pct,0.029500000000000002,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.014013467827956427
2021-09-30,-0.04266338224778321,1.0822914048830177,33,33,0,0,2020,2021-03-31,gap_top_10pct,-0.044000000000000004,0.011200000000000002,0.0512,-0.0192,0.02,0.0,-0.04266338224778321
2021-10-31,0.03810489408585216,1.1235320042361132,33,33,0,0,2020,2021-03-31,gap_top_10pct,0.0663,-0.027000000000000003,-0.0053,0.0171,-0.0154,0.0,0.03810489408585216
2021-11-30,0.01459374451902229,1.13992854326488,33,33,0,0,2020,2021-03-31,gap_top_10pct,-0.0158,-0.017,-0.0037,0.0719,0.017,0.0,0.01459374451902229
2021-12-31,0.0721237648726385,1.2221444814909255,33,33,0,0,2020,2021-03-31,gap_top_10pct,0.032400000000000005,-0.0078000000000000005,0.0325,0.048799999999999996,0.0429,0.0001,0.0720237648726385
2022-01-31,-0.07497424630074101,1.1305151201205335,33,33,0,0,2020,2021-03-31,gap_top_10pct,-0.061500000000000006,-0.0401,0.1286,0.0077,0.07730000000000001,0.0,-0.07497424630074101
2022-02-28,0.0033243373489884043,1.1342733337579463,33,33,0,0,2020,2021-03-31,gap_top_10pct,-0.022799999999999997,0.0286,0.030600000000000002,-0.0203,0.030299999999999997,0.0,0.0033243373489884043
2022-03-31,0.024469899161256636,1.1620288878563056,33,33,0,0,2020,2021-03-31,gap_top_10pct,0.0308,-0.021099999999999997,-0.019,-0.015,0.0321,0.0,0.024469899161256636
2021-04-30,0.044830928058596564,1.0448309280585957,66,66,0,0,2020,2021-03-31,gap_top_20pct,0.049699999999999994,-0.0316,-0.0102,0.024300000000000002,-0.027200000000000002,0.0,0.044830928058596564
2021-05-31,0.028192809333734248,1.0742876471993403,66,66,0,0,2020,2021-03-31,gap_top_20pct,0.0029,0.0127,0.0704,0.023399999999999997,0.0301,0.0,0.028192809333734248
2021-06-30,-0.0077922027239401,1.0659165800685384,66,66,0,0,2020,2021-03-31,gap_top_20pct,0.0273,-0.003,-0.0786,-0.021400000000000002,-0.009300000000000001,0.0,-0.0077922027239401
2021-07-31,0.012364728597089814,1.079096349288224,66,66,0,0,2020,2021-03-31,gap_top_20pct,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,0.012364728597089814
2021-08-31,0.007177115438421033,1.0868411483562443,66,66,0,0,2020,2021-03-31,gap_top_20pct,0.029500000000000002,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.007177115438421033
2021-09-30,-0.028491921462909242,1.05587495571462,66,66,0,0,2020,2021-03-31,gap_top_20pct,-0.044000000000000004,0.011200000000000002,0.0512,-0.0192,0.02,0.0,-0.028491921462909242
2021-10-31,0.04442770031394705,1.1027850518161113,66,66,0,0,2020,2021-03-31,gap_top_20pct,0.0663,-0.027000000000000003,-0.0053,0.0171,-0.0154,0.0,0.04442770031394705
