ticker,company_name,first_year,last_year,year_count,sp500_years,reason,correct_cik_to_fill,sec_entity_name_check,price_ticker_to_fill,sec_ticker_to_fill,sector_if_known,industry_if_known,notes
PLL,Pall Corporation,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,PLL,PLL,,,
PXD,Pioneer Natural Resources,2011,2023,13,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",No CIK mapping,,,PXD,PXD,,,
QEP,QEP Resources,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,QEP,QEP,,,
RAI,Reynolds American,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,RAI,RAI,,,
RDC,Rowan Companies,2011,2013,3,"2011,2012,2013",No CIK mapping,,,RDC,RDC,,,
RHT,Red Hat,2011,2018,8,"2011,2012,2013,2014,2015,2016,2017,2018",No CIK mapping,,,RHT,RHT,,,
RRD,RR Donnelley,2011,2011,1,2011,No CIK mapping,,,RRD,RRD,,,
RTN,Raytheon Company,2011,2019,9,"2011,2012,2013,2014,2015,2016,2017,2018,2019",No CIK mapping,,,RTN,RTN,,,
SAI,SAIC,2011,2012,2,"2011,2012",No CIK mapping,,,SAI,SAI,,,
SBNY,Signature Bank,2021,2022,2,"2021,2022",No CIK mapping,,,SBNY,SBNY,,,
SCG,SCANA,2011,2018,8,"2011,2012,2013,2014,2015,2016,2017,2018",No CIK mapping,,,SCG,SCG,,,
SEE,Sealed Air,2011,2022,12,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",No CIK mapping,,,SEE,SEE,,,
SHLD,Sears Holdings,2011,2011,1,2011,No CIK mapping,,,SHLD,SHLD,,,
SIAL,Sigma-Aldrich,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,SIAL,SIAL,,,
SIVB,SVB Financial Group,2018,2022,5,"2018,2019,2020,2021,2022",No CIK mapping,,,SIVB,SIVB,,,
SLE,Sara Lee Corporation,2011,2011,1,2011,No CIK mapping,,,SLE,SLE,,,
SNI,Scripps Networks Interactive,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,SNI,SNI,,,
SPLS,Staples,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,SPLS,SPLS,,,
SRCL,Stericycle,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,SRCL,SRCL,,,
STJ,St Jude Medical,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,STJ,STJ,,,
SUN,Sunoco,2011,2011,1,2011,No CIK mapping,,,SUN,SUN,,,
SVU,Supervalu,2011,2011,1,2011,No CIK mapping,,,SVU,SVU,,,
SWN,Southwestern Energy,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,SWN,SWN,,,
SWY,Safeway,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,SWY,SWY,,,
TEG,Integrys Energy Group,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,TEG,TEG,,,
TGNA,Tegna,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,TGNA,TGNA,,,
TIE,Titanium Metals,2011,2011,1,2011,No CIK mapping,,,TIE,TIE,,,
TIF,Tiffany & Co,2011,2020,10,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",No CIK mapping,,,TIF,TIF,,,
TSS,TSYS,2011,2018,8,"2011,2012,2013,2014,2015,2016,2017,2018",No CIK mapping,,,TSS,TSS,,,
TWC,Time Warner Cable,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,TWC,TWC,,,
TWTR,Twitter,2018,2021,4,"2018,2019,2020,2021",No CIK mapping,,,TWTR,TWTR,,,
TWX,Time Warner,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,TWX,TWX,,,
TYC,Tyco International,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,TYC,TYC,,,
VAR,Varian Medical Systems,2011,2020,10,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",No CIK mapping,,,VAR,VAR,,,
VIAB,Viacom,2011,2018,8,"2011,2012,2013,2014,2015,2016,2017,2018",No CIK mapping,,,VIAB,VIAB,,,
WBA,Walgreens Boots Alliance,2011,2024,14,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",No CIK mapping,,,WBA,WBA,,,
WCG,WellCare,2018,2019,2,"2018,2019",No CIK mapping,,,WCG,WCG,,,
WFM,Whole Foods Market,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,WFM,WFM,,,
WIN,Windstream Communications,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,WIN,WIN,,,
WPX,WPX Energy,2011,2013,3,"2011,2012,2013",No CIK mapping,,,WPX,WPX,,,
WYN,Wyndham Worldwide,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,WYN,WYN,,,
X,United States Steel,2011,2013,3,"2011,2012,2013",No CIK mapping,,,X,X,,,
XEC,Cimarex Energy,2014,2019,6,"2014,2015,2016,2017,2018,2019",No CIK mapping,,,XEC,XEC,,,
XL,XL Group,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,XL,XL,,,
XLNX,Xilinx,2011,2021,11,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",No CIK mapping,,,XLNX,XLNX,,,
YHOO,Yahoo!,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,YHOO,YHOO,,,
