MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2019-09-30,0.01252643151436672,1.0332998449281519,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.014199999999999999,0.0029,0.0676,0.0182,0.0338,0.0018,0.010726431514366721
2019-10-31,0.04208495363233311,1.0767862209902501,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0207,0.0025,-0.0192,0.0043,-0.0103,0.0015,0.04058495363233311
2019-11-30,0.00018947126736001962,1.076990241040217,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0387,0.0039000000000000003,-0.02,-0.016399999999999998,-0.011399999999999999,0.0012,-0.0010105287326399803
2019-12-31,0.03883913359900504,1.1188196088968025,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0276,0.009899999999999999,0.0173,0.0005,0.011899999999999999,0.0014000000000000002,0.03743913359900504
2020-01-31,0.019226047577533434,1.1403300879281297,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.0009,-0.0437,-0.0622,-0.011899999999999999,-0.0219,0.0013,0.017926047577533435
2020-02-29,-0.055098839026408775,1.0774992239764072,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.0815,0.0008,-0.0382,-0.0143,-0.0253,0.0012,-0.056298839026408774
2020-03-31,-0.13642168359228324,0.930504965772167,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.1335,-0.0818,-0.1383,-0.0161,0.011899999999999999,0.0012,-0.13762168359228324
2019-04-30,0.03452298090985306,1.0345229809098528,30,30,0,0,2018,2019-03-31,gap_top_10pct,0.0397,-0.0115,0.0213,0.0161,-0.0218,0.0021,0.032422980909853065
2019-05-31,-0.09025767737780377,0.9411493394589675,30,30,0,0,2018,2019-03-31,gap_top_10pct,-0.0692,-0.015600000000000001,-0.0245,-0.0048,0.0176,0.0021,-0.09235767737780377
2019-06-30,0.07993756647843209,1.016382527348101,30,30,0,0,2018,2019-03-31,gap_top_10pct,0.0699,0.0019,-0.0064,0.0045000000000000005,-0.0055000000000000005,0.0018,0.07813756647843209
2019-07-31,0.030632106604190357,1.0475164652764646,30,30,0,0,2018,2019-03-31,gap_top_10pct,0.012199999999999999,-0.0182,0.005,-0.0013,0.0037,0.0019,0.028732106604190358
2019-08-31,-0.026559001731890297,1.0196954736610033,30,30,0,0,2018,2019-03-31,gap_top_10pct,-0.0255,-0.0325,-0.04769999999999999,0.0053,-0.0062,0.0016,-0.028159001731890298
2019-09-30,0.016670289708295538,1.0366940926211698,30,30,0,0,2018,2019-03-31,gap_top_10pct,0.014199999999999999,0.0029,0.0676,0.0182,0.0338,0.0018,0.014870289708295539
2019-10-31,0.02744057634204311,1.0651415760130862,30,30,0,0,2018,2019-03-31,gap_top_10pct,0.0207,0.0025,-0.0192,0.0043,-0.0103,0.0015,0.02594057634204311
2019-11-30,0.006472554689529897,1.072035763115923,30,30,0,0,2018,2019-03-31,gap_top_10pct,0.0387,0.0039000000000000003,-0.02,-0.016399999999999998,-0.011399999999999999,0.0012,0.005272554689529897
2019-12-31,0.04140749781468078,1.1164260816344052,30,30,0,0,2018,2019-03-31,gap_top_10pct,0.0276,0.009899999999999999,0.0173,0.0005,0.011899999999999999,0.0014000000000000002,0.040007497814680784
2020-01-31,0.009200427354557839,1.126697678695216,30,30,0,0,2018,2019-03-31,gap_top_10pct,-0.0009,-0.0437,-0.0622,-0.011899999999999999,-0.0219,0.0013,0.00790042735455784
2020-02-29,-0.07313530030469784,1.0442963056112355,30,30,0,0,2018,2019-03-31,gap_top_10pct,-0.0815,0.0008,-0.0382,-0.0143,-0.0253,0.0012,-0.07433530030469784
2020-03-31,-0.15350282069361976,0.8839938770599846,30,30,0,0,2018,2019-03-31,gap_top_10pct,-0.1335,-0.0818,-0.1383,-0.0161,0.011899999999999999,0.0012,-0.15470282069361976
2019-04-30,0.04446620751549135,1.044466207515492,61,61,0,0,2018,2019-03-31,gap_top_20pct,0.0397,-0.0115,0.0213,0.0161,-0.0218,0.0021,0.042366207515491354
