year,ticker,cik,sector,industry,name,date_added,is_current_constituent,source,as_of_date,price_ticker,sec_ticker,in_dataset_universe
2019,MDLZ,0001103982,Consumer Staples,Packaged Foods & Meats,Mondelez International,2012-10-02,True,cached_current,2019-12-31,MDLZ,MDLZ,True
2019,MDT,0001613103,Health Care,Health Care Equipment,Medtronic,1986-10-31,True,cached_current,2019-12-31,MDT,MDT,True
2019,MET,0001099219,Financials,Life & Health Insurance,MetLife,2000-12-11,True,cached_current,2019-12-31,MET,MET,True
2019,META,0001326801,Communication Services,Interactive Media & Services,Meta Platforms,2013-12-23,True,cached_current,2019-12-31,META,META,True
2019,MGM,0000789570,Consumer Discretionary,Casinos & Gaming,MGM Resorts,2017-07-26,True,cached_current,2019-12-31,MGM,MGM,True
2019,MHK,0000851968,Unknown,Unknown,Mohawk Industries,,False,wikipedia_removed,2019-12-31,MHK,MHK,True
2019,MKC,0000063754,Consumer Staples,Packaged Foods & Meats,McCormick & Company,2003-03-20,True,cached_current,2019-12-31,MKC,MKC,True
2019,MKTX,0001278021,Unknown,Unknown,MarketAxess,,False,wikipedia_removed,2019-12-31,MKTX,MKTX,True
2019,MLM,0000916076,Materials,Construction Materials,Martin Marietta Materials,2014-07-02,True,cached_current,2019-12-31,MLM,MLM,True
2019,MMM,0000066740,Industrials,Industrial Conglomerates,3M,1957-03-04,True,cached_current,2019-12-31,MMM,MMM,True
2019,MNST,0000865752,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Monster Beverage,2012-06-28,True,cached_current,2019-12-31,MNST,MNST,True
2019,MO,0000764180,Consumer Staples,Tobacco,Altria,1957-03-04,True,cached_current,2019-12-31,MO,MO,True
2019,MOS,0001285785,Materials,Fertilizers & Agricultural Chemicals,Mosaic Company (The),2011-09-26,True,cached_current,2019-12-31,MOS,MOS,True
2019,MPC,0001510295,Energy,Oil & Gas Refining & Marketing,Marathon Petroleum,2011-07-01,True,cached_current,2019-12-31,MPC,MPC,True
2019,MRK,0000310158,Health Care,Pharmaceuticals,Merck & Co.,1957-03-04,True,cached_current,2019-12-31,MRK,MRK,True
2019,MRO,101778,Unknown,Unknown,Marathon Oil,,False,wikipedia_removed,2019-12-31,MRO,MRO,True
2019,MRSH,0000062709,Financials,Insurance Brokers,Marsh McLennan,1987-08-31,True,cached_current,2019-12-31,MRSH,MRSH,True
2019,MS,0000895421,Financials,Investment Banking & Brokerage,Morgan Stanley,1993-07-29,True,cached_current,2019-12-31,MS,MS,True
2019,MSCI,0001408198,Financials,Financial Exchanges & Data,MSCI Inc.,2018-04-04,True,cached_current,2019-12-31,MSCI,MSCI,True
2019,MSFT,0000789019,Information Technology,Systems Software,Microsoft,1994-06-01,True,cached_current,2019-12-31,MSFT,MSFT,True
2019,MSI,0000068505,Information Technology,Communications Equipment,Motorola Solutions,1957-03-04,True,cached_current,2019-12-31,MSI,MSI,True
2019,MTB,0000036270,Financials,Regional Banks,M&T Bank,2004-02-23,True,cached_current,2019-12-31,MTB,MTB,True
2019,MTD,0001037646,Health Care,Life Sciences Tools & Services,Mettler Toledo,2016-09-06,True,cached_current,2019-12-31,MTD,MTD,True
2019,MU,0000723125,Information Technology,Semiconductors,Micron Technology,1994-09-27,True,cached_current,2019-12-31,MU,MU,True
2019,MXIM,743316,Unknown,Unknown,Maxim Integrated,,False,wikipedia_removed,2019-12-31,MXIM,MXIM,True
2019,NBL,72207,Unknown,Unknown,Noble Energy,,False,wikipedia_removed,2019-12-31,NBL,NBL,True
2019,NCLH,0001513761,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Norwegian Cruise Line Holdings,2017-10-13,True,cached_current,2019-12-31,NCLH,NCLH,True
2019,NDAQ,0001120193,Financials,Financial Exchanges & Data,"Nasdaq, Inc.",2008-10-22,True,cached_current,2019-12-31,NDAQ,NDAQ,True
2019,NEE,0000753308,Utilities,Multi-Utilities,NextEra Energy,1976-06-30,True,cached_current,2019-12-31,NEE,NEE,True
2019,NEM,0001164727,Materials,Gold,Newmont,1969-06-30,True,cached_current,2019-12-31,NEM,NEM,True
2019,NFLX,0001065280,Communication Services,Movies & Entertainment,Netflix,2010-12-20,True,cached_current,2019-12-31,NFLX,NFLX,True
2019,NI,0001111711,Utilities,Multi-Utilities,NiSource,2000-11-02,True,cached_current,2019-12-31,NI,NI,True
2019,NKE,0000320187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Nike, Inc.",1988-11-30,True,cached_current,2019-12-31,NKE,NKE,True
2019,NLSN,1492633,Unknown,Unknown,Nielsen Holdings,,False,wikipedia_removed,2019-12-31,NLSN,NLSN,True
2019,NOC,0001133421,Industrials,Aerospace & Defense,Northrop Grumman,1957-03-04,True,cached_current,2019-12-31,NOC,NOC,True
2019,NOV,0001021860,Unknown,Unknown,Nov,,False,wikipedia_removed,2019-12-31,NOV,NOV,True
2019,NOW,0001373715,Information Technology,Systems Software,ServiceNow,2019-11-21,True,cached_current,2019-12-31,NOW,NOW,True
2019,NRG,0001013871,Utilities,Independent Power Producers & Energy Traders,NRG Energy,2010-01-29,True,cached_current,2019-12-31,NRG,NRG,True
2019,NSC,0000702165,Industrials,Rail Transportation,Norfolk Southern,1957-03-04,True,cached_current,2019-12-31,NSC,NSC,True
2019,NTAP,0001002047,Information Technology,"Technology Hardware, Storage & Peripherals",NetApp,1999-06-25,True,cached_current,2019-12-31,NTAP,NTAP,True
2019,NTRS,0000073124,Financials,Asset Management & Custody Banks,Northern Trust,1998-01-30,True,cached_current,2019-12-31,NTRS,NTRS,True
2019,NUE,0000073309,Materials,Steel,Nucor,1985-04-30,True,cached_current,2019-12-31,NUE,NUE,True
2019,NVDA,0001045810,Information Technology,Semiconductors,Nvidia,2001-11-30,True,cached_current,2019-12-31,NVDA,NVDA,True
2019,NVR,0000906163,Consumer Discretionary,Homebuilding,"NVR, Inc.",2019-09-26,True,cached_current,2019-12-31,NVR,NVR,True
2019,NWL,0000814453,Unknown,Unknown,Newell Brands,,False,wikipedia_removed,2019-12-31,NWL,NWL,True
2019,NWS,0001564708,Communication Services,Publishing,News Corp (Class B),2015-09-18,True,cached_current,2019-12-31,NWS,NWS,True
2019,NWSA,0001564708,Communication Services,Publishing,News Corp (Class A),2013-08-01,True,cached_current,2019-12-31,NWSA,NWSA,True
2019,O,0000726728,Real Estate,Retail REITs,Realty Income,2015-04-07,True,cached_current,2019-12-31,O,O,True
2019,ODFL,0000878927,Industrials,Cargo Ground Transportation,Old Dominion,2019-12-09,True,cached_current,2019-12-31,ODFL,ODFL,True
2019,OKE,0001039684,Energy,Oil & Gas Storage & Transportation,Oneok,2010-03-15,True,cached_current,2019-12-31,OKE,OKE,True
2019,OMC,0000029989,Communication Services,Advertising,Omnicom Group,1997-12-31,True,cached_current,2019-12-31,OMC,OMC,True
2019,ORCL,0001341439,Information Technology,Application Software,Oracle Corporation,1989-08-31,True,cached_current,2019-12-31,ORCL,ORCL,True
2019,ORLY,0000898173,Consumer Discretionary,Automotive Retail,O’Reilly Automotive,2009-03-27,True,cached_current,2019-12-31,ORLY,ORLY,True
2019,OXY,0000797468,Energy,Oil & Gas Exploration & Production,Occidental Petroleum,1957-03-04,True,cached_current,2019-12-31,OXY,OXY,True
2019,PAYX,0000723531,Industrials,Human Resource & Employment Services,Paychex,1998-10-01,True,cached_current,2019-12-31,PAYX,PAYX,True
2019,PBCT,1378946,Unknown,Unknown,People's United Financial,,False,wikipedia_removed,2019-12-31,PBCT,PBCT,True
2019,PCAR,0000075362,Industrials,Construction Machinery & Heavy Transportation Equipment,Paccar,1980-12-31,True,cached_current,2019-12-31,PCAR,PCAR,True
2019,PEG,0000788784,Utilities,Electric Utilities,Public Service Enterprise Group,1957-03-04,True,cached_current,2019-12-31,PEG,PEG,True
2019,PEP,0000077476,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,PepsiCo,1957-03-04,True,cached_current,2019-12-31,PEP,PEP,True
2019,PFE,0000078003,Health Care,Pharmaceuticals,Pfizer,1957-03-04,True,cached_current,2019-12-31,PFE,PFE,True
2019,PFG,0001126328,Financials,Life & Health Insurance,Principal Financial Group,2002-07-22,True,cached_current,2019-12-31,PFG,PFG,True
2019,PG,0000080424,Consumer Staples,Personal Care Products,Procter & Gamble,1957-03-04,True,cached_current,2019-12-31,PG,PG,True
2019,PGR,0000080661,Financials,Property & Casualty Insurance,Progressive Corporation,1997-08-04,True,cached_current,2019-12-31,PGR,PGR,True
2019,PH,0000076334,Industrials,Industrial Machinery & Supplies & Components,Parker Hannifin,1985-11-30,True,cached_current,2019-12-31,PH,PH,True
2019,PHM,0000822416,Consumer Discretionary,Homebuilding,PulteGroup,1984-04-30,True,cached_current,2019-12-31,PHM,PHM,True
2019,PKG,0000075677,Materials,Paper & Plastic Packaging Products & Materials,Packaging Corporation of America,2017-07-26,True,cached_current,2019-12-31,PKG,PKG,True
2019,PLD,0001045609,Real Estate,Industrial REITs,Prologis,2003-07-17,True,cached_current,2019-12-31,PLD,PLD,True
2019,PM,0001413329,Consumer Staples,Tobacco,Philip Morris International,2008-03-31,True,cached_current,2019-12-31,PM,PM,True
2019,PNC,0000713676,Financials,Diversified Banks,PNC Financial Services,1988-04-30,True,cached_current,2019-12-31,PNC,PNC,True
2019,PNR,0000077360,Industrials,Industrial Machinery & Supplies & Components,Pentair,2012-10-01,True,cached_current,2019-12-31,PNR,PNR,True
2019,PNW,0000764622,Utilities,Multi-Utilities,Pinnacle West Capital,1999-10-04,True,cached_current,2019-12-31,PNW,PNW,True
2019,PPG,0000079879,Materials,Specialty Chemicals,PPG Industries,1957-03-04,True,cached_current,2019-12-31,PPG,PPG,True
2019,PPL,0000922224,Utilities,Electric Utilities,PPL Corporation,2001-10-01,True,cached_current,2019-12-31,PPL,PPL,True
2019,PRGO,0001585364,Unknown,Unknown,Perrigo,,False,wikipedia_removed,2019-12-31,PRGO,PRGO,True
2019,PRU,0001137774,Financials,Life & Health Insurance,Prudential Financial,2002-07-22,True,cached_current,2019-12-31,PRU,PRU,True
2019,PSA,0001393311,Real Estate,Self-Storage REITs,Public Storage,2005-08-19,True,cached_current,2019-12-31,PSA,PSA,True
2019,PSKY,0002041610,Communication Services,Movies & Entertainment,Paramount Skydance Corporation,1994-09-30,True,cached_current,2019-12-31,PSKY,PSKY,True
2019,PSX,0001534701,Energy,Oil & Gas Refining & Marketing,Phillips 66,2012-05-01,True,cached_current,2019-12-31,PSX,PSX,True
2019,PVH,0000078239,Unknown,Unknown,PVH,,False,wikipedia_removed,2019-12-31,PVH,PVH,True
2019,PWR,0001050915,Industrials,Construction & Engineering,Quanta Services,2009-07-01,True,cached_current,2019-12-31,PWR,PWR,True
